english,lunyoro,round_trip_bleu,source
The habit of marrying several wives does not breakdown.,Omuhama gwo kuswera abakazi tigucweka.,0.7825,back_translation
"May peace be upon all who follow this way of life, and peace be upon them, and mercy, and toward the people of God.","Kandi bona abalikurutira omulingo gunu, obusinge bube halibo, nokuganyirwa, na hali Isaleri owa Ruhanga.",0.5798,back_translation
The time has come for you to do your work but they have broken your law,Akasumi kahikire baitu okukora emirimo Baitu bakasisiskalirwa ebiragiro byawe,0.8154,back_translation
"I am the living and not the Law, but the sin that came down from death has made me live, and I die.","Nanyowe ira nkabandi mwomezi hatali biragiro: baitu ebiragiro obubyaizire, ekibi kikagaruka omwomera, nanyowe nafa;",1.0,back_translation
"So then, it is not God's will that you want or run away; it belongs to God who accepts you.","Nukwo tikiri kyogu anyakwenda, nobwakuba anyakuiruka, baitu kya Ruhanga arukuganyira.",0.8922,back_translation
"The Creator of the new covenant, together with the shed blood of his Son, speaks better than that of Abel.","Omutonganizi owekiregano ekihyaka, na hali esagama eoyokumisira, eru kugamba ebirungi okukira eya Aberi.",0.6284,back_translation
"Be on your guard, then, and be on your guard that the Lord's coming is near.",Nukwo mugumege; mugumye emitima yanyu: baitu okuija kwa Mukama kuli haihi.,0.3048,back_translation
I want you to know that there is so much jealousy in you and in the believers in Laodicea and in all those who have never seen me.,"BAITU mbaire ningonza inywe okumanya okwekamba okuli kwingi okunyina habwanyu na habwabo abomu Raodikiya, na bona abatakabonaga amaiso ga",0.699,back_translation
"Peter and the other apostles answered, ""We must obey God, not men.",Baitu Petero nabakwenda bagarukamu nibagamba ngu Kituhikirire okuhu'ra Ruhanga okukira abantu.,0.4936,back_translation
"Pilate wanted to please the crowd, so he left Barabbas for them and handed Jesus over to be crucified.","Kandi Pirato obwakaba nagonza okusemeza ekitebe, yabaleke'ra Baraba, yahayo Yesu, okubambwa ha muti.",0.7839,back_translation
"He said to them, “This is what the scripture says: Christ will suffer and rise from death three days later,","yabagambira ati Nukwo kyahandikirwe kiti, Kristo okusalizibwa nokuhumbuka omu bafu ha kiro kyakasatu omu bafire.",0.7499,back_translation
"Jesus ordered him, “Get out of here and go away!”","Yesu yagucomera nagamba ati Huna, murugeho.",0.3228,back_translation
"Jesus answered, ""If I were to honor myself, that honor would be worth nothing. The one who honors me is my Father—the very one you say is your God.","Yesu yagarukamu ati Obundaba ninyenyumiza nyenka, okwenyumizo kwange kubakwa busa: Isenyowe nuwe a'nyumize: inywe oumugambire ngu nuwe Ruhanga wanyu kandi timukamumanyaga,",0.731,back_translation
Papaya is a fruit crop grown in many parts of Africa.,Ipapaali ibara ryekijuma ekinyakukurra omubicweka bingi ebyebibira omu Africa.,0.7426,back_translation
"The head of the man was healed, and when he found it open, he spoke up.","Amatuge gaiguka, amasanga gorulimirwe gaboho'roka, yagamba.",0.8307,back_translation
"As they went to buy some food, the bridegroom arrived; and as they went out, the servant went in; and the others who were ready went in with him to the wedding feast.","Nabo obubakaba bagenzire okugura, omuswezi yaija; nabo obukaba bagendire okugurora, omusiri yaimuka; nabali abakaba batekanize bahingura nauwe omubugenyi obwobugole.",0.5771,back_translation
be ajar (of darn and water) to break the dam and escape,to be ajar (of darn and water) to break the dam and escape,0.7825,back_translation
Peace is what I leave with you; it is my own peace that I give you. I do not give it as the world does. Do not be worried and upset; do not be afraid.,"Obusinge nimbubasigira; obusinge bwange nimbibaha: tindukubaha nkensi okweha. Omutima gwanyu gutalituntura, nobukwakuba okutina.",0.5082,back_translation
There is no education in this month,Taliyo okugesa mu mezi ganu,1.0,back_translation
"Be happy with those who are happy, weep with those who weep.",Musemererwe hamu nabo abanyakusemererwa; mu'le hamu nabanyaku'ra.,0.4333,back_translation
"take about, show off, announce, bungyamu eyes, look around about. bunihe, o-, 11. c/.14, (pl. nil)","take about (show off, advertise, bungyamu amaiso, rook around about. bunihe, o-, 11. c/.14, (pr. nir))",0.9128,back_translation
How long will the days of your servant be when you will judge those who persecute me,Ebiro ebyomuiru wawe biingaha Olihikiriza di omusango hali abo abampigana,1.0,back_translation
The man is wearing a talisman in his neck.,Omusaija ajwaire orugisa mubikya,0.4111,back_translation
"be pleasing, be pleasing to",be preasing; semeerra,0.3606,back_translation
Then out of the river seven fat cows sprout up and grow up in the well,Dora harugamu omukyambu ente musanju igomokere enungi zalira omu butorwa,0.3352,back_translation
The teacher is on duty for two hours,Omusomesa aika ha soomer saha ibiri,0.4317,back_translation
"They arrived at the official's house, and he noticed that the crowd was crying and shouting.",Bahika ha nju yomukuru wiso'rokaniro: yarora ekitebe niki'ra nikitera empamo nyingi.,0.6299,back_translation
That man is my herdsman.,Omusaija ogwo muhuma wange.,0.5373,back_translation
He will not listen to words like a lion looks at food,Talihura ebigambo Nkekihangara okukiroza ebyokurya,1.0,back_translation
They captured King Zedekiah in the plains of Jericho,Bakwata Zedekiya omu byeyabya Yeriko,0.6753,back_translation
"And we ourselves are glad, because we have been paid the best of what we have done, because this man has not sinned.”",Kandi naitwe tugusemerire; baitu tuhairwe empera esemerire engeso zaitu: baitu omuntu onu takasisaga.,0.4118,back_translation
one who sings w ithout uttering a word,one who sings w Itooth speak a word,0.4111,back_translation
We know that God's punishment is true for those who do these things.,Kandi tumanyire ngu okuhana kwa Ruhanga kwamazima hali abo abakora ebi.,1.0,back_translation
"Jesus answered, “Before the rooster crows, you will never eat anything you have to eat.” The disciples wept.",Yagarukamu nagugambira ati Okubanza hati omuntu atalirya ha byana byawe ebiro nebiro.Nabegeswa bakaku'ra.,0.7692,back_translation
Eighty-three,Nnana na isatu,1.0,back_translation
Thirty-one,Asatu ne emu,1.0,back_translation
"to do everything in your power and in your teaching, as God has commanded.",okukora byona omukono gwawe nokuhanura kwawe ebibyaragire ira okubaho.,1.0,back_translation
"become rhy. eganyira, kw-, okw-rejl., (pf. enganywire)","become razy. eganyira (kw-, okw-rejr., (pf. eganyiire))",0.8666,back_translation
"fish -hook. ndobo, o-, 11. cl. 14, (pl. nil)",emotoka giteere en.; fish -hook. ndobo,0.6775,back_translation
"All who heard him were amazed and said, “Isn't this the man who was going to Jerusalem to worship the chief priests?” That is why he also brought them here and handed them over to the chief priests.","Bona abamuhulire bakatangara, nibagamba ngu Tinuwe onu yangagaga omu Yerusalemu abo abakungaga ibara eri? Nikyo kyamulesere na hanu abatwale bahoherwe hali banyakatagara abakuru.",0.9317,back_translation
The memorial of Bishop Balya is in the city of Forte Portal.,Ekijukyo kya Bishop Barya kiri murubuga rwa Forte portar.,0.5537,back_translation
"He sent other servants ahead of the first, and they did the same to them.",Kandi yatuma abairu rubale abandi baingi okukira ababandize; nukwo babakozire bati nabo.,0.7332,back_translation
"rwangaraete, o-, n. cl. 11, (pl. nil)",see rwangarateete; o. country,1.0,back_translation
He saw heaven opened and something coming down that looked like a large sheet being lowered by its four corners.,"yarora iguru lisukuirwe, nekintu nikimusirimukira ekisisana nkorugoye orukoto, orukwasirwe ha byebu bina, rwatebwa hansi:",0.8188,back_translation
"At that time a large crowd of people came to Jesus, blind, lame, and paralyzed. They were waiting for the water to burst out,","Omwobu nuho habyamamuga ekitebe kyabarwaire, abafu bamaiso, abaramaire, nabazingamire [nibategereza amaizi okubimba:",0.8272,back_translation
"The High Priest answered, “I swear that you are the Messiah, the Son of the living God!”","Baitu Yesu yaculera. Nyakatagara omukuru wabu yamugambira ati Ninkurahiza Ruhanga omowmezi, otugambire obworaba ali Kristo, Omwana wa Ruhanga.",0.7849,back_translation
"But they said to God, ‘Get out of us, because we do not want to know your ways",Baitu bagambira Ruhanga ngu Oturugeho Baitu titurukugonza okumanya okwemihanda yawe,0.5381,back_translation
They die in youth and their life is cut short without joy,Bafa omu busigazi Kandi obwomezi bwabu buhwerekera hamu nabatasemire,1.0,back_translation
"I am the light. Those who enter into me will be saved, and they will pass away and come out of me, and I will see the light.”","Ninyowe musana: omuntu obwataha amuli nyowe alijunwa, alihingura, alituruka, alibona irisizo.",0.4545,back_translation
"For death has appeared from Adam to Moses, and death has appeared to those who have not sinned because of the sin of Adam, who is the likeness of the one who is coming.","Baitu okufa kwalemaga okuruga ha Adamu okuhikya Musa, kandi kwalemera kimu abo abatarasisire omu muingo gwekibi kya Adamu, anyakuli ekisisani kyogu arukugenda okuija.",0.4864,back_translation
"Jesus said to them, “Take care, beware of the yeast of the Pharisees and the yeast of Herod.”","Yabatere'ra ati Murole, mwerinde ekitumbisa kya Bafalisayo nekitumbisa ekya Herode.",0.688,back_translation
I have turned from my sins and have obeyed your commands,Nkazinduka emamba etakasazire nakunga Nkategereza ebigambo byawe,0.8932,back_translation
I will pay back to them what I have earned.,"Nenkonge, nempera namberebali:",0.4483,back_translation
the men who were taking care of the carriage,abasaija abateezi bamakondere,0.6389,back_translation
But you LORD are my shield preserve my glory and raise my head up,Baitu iwe ai MUKAMA olingabo eyokundinda Kitinisa kyange kandi noimukya omutwe gwange,0.4231,back_translation
"But if I, my friends, teach that circumcision is necessary, why should I be glad? The shames of the cross—that of Christ must be removed.","Baitu nyowe, bene baitu, obundaba ninkyayegesa okusarwa, ninkyahigirwa ki? Ensoni ezomuti—gwa Kristo buli ziihirweho.",0.476,back_translation
"And he sent Jesus, who was chosen for you.","kandi atume Kristo ayatairweho habwanyu, nuwe Yesu:",1.0,back_translation
So Judah was set free,Nukwo Yuda yasenguirwe,1.0,back_translation
Teaching in Tooro and Bunyoro is not good at all.,Enyegesa ya Tooro na Banyoro teri nungi nakake.,1.0,back_translation
"Isn't this the carpenter's son? Isn't he the son of Mary, the brother of James, Joseph, Judas, and Simon? Aren't his sisters here with us?”","Tinuonu mubaizi? Omwana wa Maryamu, mugenzi wa Yakobo, na Yose, na Yuda, na Simoni? Nabanyanya titunyinabo hanu owaitu?",0.8593,back_translation
"grudging in fullness full to the blim, adv., mpora.",grudging in furness furr to the brim,0.3434,back_translation
I tell you that on that Day God will show more mercy to Sodom than to that city.,Nimbagambira nti Okubonabonesebwa okwa Sodomu kuliba nokuganyirwa ha kiro eki okukira okworubuga oru.,1.0,back_translation
So he left the city and went to Bethany and wept there.,"Yabagira, yaturuka omu rubuga, yagenda besaniya, yarara oku.",1.0,back_translation
to cause to become spoiled,okusiisikisa,0.4631,back_translation
"They even tried to stop them, but they could not find any reason to punish them. They were all praising God for what had happened.","Nabo obubagarukire okubakanga babaleka, baitu batabone okubarababonabonesa obwabantu; baitu bona bakaba nibakugiza Ruhanga obweki ekyakozirwe.",0.9332,back_translation
"sequenct one out of many people, why have you picked on me out of all those people?","habwaki omubantu abo boona oyomeriiremu nyowe? why have you picked on me out of arr those peopre?; to serect one out off many people, why harr you pirked on them out without those?",0.6348,back_translation
Is this law working with one another in the art school?,Irwarro linu nirikorraana nisomero ry'abafumu?,1.0,back_translation
to undo/reverse cause to fadeing,okusiihuurura,1.0,back_translation
suffering from malnutrition,kubonabona habwebyokurya,0.5503,back_translation
"sloth of a hill = nel Igo, e-, n., cl.7, (pl. bitinisa, e-)",srope of a hirr = ner Igo,0.4721,back_translation
"The servants were so angry that they came to him and said, “Sir, don't you put a fine robe in your name, because it wasn't right for us to have any bread?”","Abairu rubale banyineka baija nibamugambira ngu Tata, otasige mbibo esemire omu ruharo rwawe, baitu ekaba eta okubamu emberya?",1.0,back_translation
"Yes, I assure you that every one of us who is circumcised has the right to obey all the commandments.","Ego, nimanyisa omuntu jwena anyakusarwa nti anyina ibanja okukwatira kimu ebiragiro byona.",1.0,back_translation
"stand on one I., admit to all.","stand on one I., emereza okuguru kumu.",0.6989,back_translation
"But they were all wrong, and they did not come to the glory of God.","baitu bona bakasisa, kunu tibahikire ha kitinisa kya Ruhanga:",1.0,back_translation
"For by his grace we all have been made perfect, and by his mercy we have been brought into being.","Baitu okuijurakwe itwena nukwo twahairweho, nembabazi omu kiikaro kyembabazi.",0.5696,back_translation
"But what the scripture says about being put right with God through faith is this: ""You are not to ask yourself, Who will go up into heaven?"" (that is, to bring Christ down).",Baitu okuhiki'ra okwokuikirirza nukugamba kuti Otagamba omu mutima gwawe oti Oha alitemba omu iguru? (nukwo kusirimura Kristo hansi:),0.3067,back_translation
For the waters will overflow and the plants like a plant,Baitu habwokukaga amaizi galirokera Kandi gulizara amatagi nkekintu ekibyairwe,1.0,back_translation
"Jesus answered, “My friends are those who hear the word of God and do it.",Baitu yagarukamu nabagambira ati Maunabagenzi bange nibo banu abahu'ra ekigambo kya Ruhanga nibakikora.,0.8482,back_translation
"When Jesus was in the middle of the courtyard, he sat by himself.","Kandi obwakabali omu zigati hagati, yaika'ra hamu nauwe.",0.5677,back_translation
"be happy, be happy",to be happy; p1: form,0.4631,back_translation
Poverty is caused by a lack of new ideas in life.,Obuhabi buleetwa okutahyamu entekereza empyaka omubwomeezi.,0.5859,back_translation
"edible fruit of a bush, n., ekisisani.",edibre fruit of a bush,0.4569,back_translation
"You know this, then, that neither a fornicator nor a greedy person nor a greedy person will inherit the Kingdom of Christ and of God.","Baitu kinu mukimanyire ngu nobwakuba omusihani, nobwaraba atasemire, nobugwakuba omwegombi, nuwe muramyi webisisani, tibaligwetwa obukama bwa Kristo na Ruhanga.",0.5509,back_translation
"Go well, Akiiki.",Ogende kurungi Akiiki.,1.0,back_translation
"The guards and the guards were standing around the fire place, but the fire burned around them. They were burning with fire, and Peter was standing with them, warming himself.","Abairu rubale nabahereza bakaba bemerire aho bahembere omu'ro gwamakara: baitu ekaberi embeho: nibota omu'ra: na petero nauwe akabali nabo ayemerire, nayota omu’ro.",0.3641,back_translation
Kazin is a traditional priest.,Kazini niwe aba Nyakatagara omudiini enzaarwa.,0.7598,back_translation
make to rustle,pr. form; agiire kutanisa ebihimba bye,1.0,back_translation
“Aren't you fifty years old and Abraham saw him?” the Jewish authorities asked him.,"Abayudaya bamugambira ngu Tokamazire myaka amakumi atano, kandi Iburahimu okamurora?",1.0,back_translation
it rains in March,enjura egwa omu Mac,0.3195,back_translation
"keep to oneself, be inattentive",keep to oneserf; y. ebigambo,0.5081,back_translation
Ninety-seven,Kyenda na musanju,1.0,back_translation
to be irritateed,okuryaryatibwa,1.0,back_translation
All is well with him and we will see it.,Byona bihoire mugwe mukifuba tumalirre.,0.6316,back_translation
"So then, if you do not speak in strange tongues, how can you tell what is being said? You will speak in strange tongues.","Nukwo nainywe obumutagamba omu ndimi ebigambo ebirukuhu'rwa bwango, kirimanywa kita ekigambwa? baitu muliba numugambira omu mwanya.",0.6211,back_translation
The moon is red,Okwezi kukutukura,1.0,back_translation
"So then, the churches were stronger in the faith and grew in numbers every day.","Nukwo ekanisa zagumire ziti omu kuikiriza, kandi zakanya omuhendo obukyabukya.",0.8282,back_translation
The ten horns that you saw and the beast will hate the prostitute and leave her alone. They will eat her flesh and burn her with fire.,"Namahembe ikumi agoboine nekisoro, abo balinoba omusihani, balimulekesa ali kwonka, balirya enyamaye, balimwokeza kimu nomu'ro.",0.485,back_translation
"The Lord said, “If you have faith like a mustard seed, you will say to this vine, ‘Get up, and gather up in the sea,’ and it will obey you.","Mukama waitu yagamba ati Kusangwa muyina okuikiriza nkakajuma kakaradali,,, muba mugambirs omuisikamini gunu ngu Sinduka, osimbwe omu nyanja; guba gubahu'ra,.",1.0,back_translation
"But Peter said to him, “Why are you trying to put the Lord's Spirit to the test? The men who have buried your husband are at the door, and they will kill you!”","Baitu Petero yamugambira ati Kiki kinu, inywe okuterana hamu okulenga Omwoyo gwa Mukama? Dora, ebigere byabu abazikire baro biri ha ruigi, barakuturukya naiwe.",0.9306,back_translation
The upright will be amazed at this and no justice will justify the battle without fear of God,Abantu abamazima balihunira eki Nataroho musango aryekambisa okurwana natarukutina Ruhanga,0.8394,back_translation
"Father, to this very day I am to be proud of you and to the glory that I had with you before the world was made.","Ai Isenyowe, na hati bunu 'nyumiza nyowe hamu naiwe, omukitinisa eki ekinkabanyinanakyo hamu nauwe ensi etakabaireho.",0.4414,back_translation
Mugisa is standing between Birungi and Basemera.,Mugisa ayemerire hagati ya Birungi na Basemera.,0.3672,back_translation
The runyege and amakondere are the traditional dances in Tooro and Bunyoro.,Orunyege n'amakondere nugo mazina genzaarwa muli Tooro na Bunyoro.,0.328,back_translation
"They tried to seize him, but no one laid a hand on him, because his hour had not yet come.","kandi base'ra okumukwata, baitu busaho muntu ayamutaireho omukonogwe, bagamba ngu akasumike kakaba katakahikire.",0.7609,back_translation
The work of farmers and farmers is to be farming and farming.,omulimo mujuru ogwa abanyoro n'abatooro kuba kulima n'okiriisa.,0.5031,back_translation
He spreads the clouds under the sun in the deepest and most fertile places,Ebyama hansi yamalebe Omu kiikaro ekyomubimbiri ekyensita nomu kisaru,0.6115,back_translation
"He is David's descendant,"" they answered.",guza nagamba ati kristo numumutekereza muta? Nuwe mwana woha? Bamugambira,0.4317,back_translation
"We live in the flesh at all times, because the death of Jesus has been made manifest in our bodies.",ebiro byona tuhimbira omu mubiri okufa kwa Yesu bwolekwe omu mutumbi gwaitu.,0.9132,back_translation
"Then he ordered the people to sit down on the ground, took the seven loaves and the fish, gave thanks, broke them, and gave them to the disciples, and the disciples gave them to the people.","Yaragira ebitebe okuika'ra ahansi; yakwata emigati musanju nencu; yasima, yacwamu, yagiha ebegeswa,nabegeswanabegeswa bagabira ebitebbe.",0.7965,back_translation
The patient needs a book to be given for a long time.,Omurwaire nayetaaga Kuheebwa ekitabu okumara ebiro bingi.,0.511,back_translation
For he has fixed a day in which he will judge the whole world with justice by means of a man he has chosen. He has given proof of this to everyone by raising that man from death!”,"baitu akataho ekiro, ekyalicweramu omusango ogwoburyo ogwensi zona, omu muntu ouyakomeremu; nkokuyahaire bona ekyokuikirizisa, obuyamuhumbuire omu bafu.",0.5998,back_translation
Again he bent over and wrote on the ground.,"Yagaruka yainama, nahandika norukumu ha itaka.",0.7825,back_translation
"For the Lord stood near me and strengthened me, so that through me the message might be preached to you and to all the Gentiles. And I was delivered from the power of the throne.","Baitu Mukama waitu akeme'ra haihi nanyowe, kandi yampa amani, nukwo omuli nyowe ekigambo kihike okutebezebwa mali, Nabamahanga baona bahu'le: kandi nkajunwa omu kanwa kentale.",0.7662,back_translation
"I will ask the Father, and he will give you another Helper, who will stay with you forever.","Nanyowe ndisaba Isenyowe, nauwe alibaha Omuhumuza ondi, aikalege nainywe ebiro nebiro.",0.7054,back_translation
"Those who speak in strange tongues do not speak to others, but to God, because no one hears them; they speak in secret.","Anyakugamba omu rulimi tagambira abantu, baitu Ruhanga; baitu busaho ahu'ra; agamba ensita omu mutima.",0.8344,back_translation
"many. ntembe, a-, n. cl. 6, (used in pl.)",many. ntembe; many,0.4021,back_translation
Or will I stay with you or will I stay with you forever? So take me in my path and walk.,"kandi rundi ndiikara nainywe, rundi Ndimarayo nebiro byembeho: nukwo mumbohe'le omu muhanda gwange handikagenda.",0.8337,back_translation
"When the crowds saw what Paul had done, they started shouting in their own Lycaonian language, “The gods have become like men and have come down to us!”","Abebitebe obubaboine Pauro ekiyakozire, baimukya amaraka gabu, nibagamba omu ngambo eya Rukaoniya ngu Abacwezi basirimuka nambere tuli omu kisisani kyabantu.",0.6448,back_translation
he first read his essay before submitting it,akabanza yasomamu orubazoorwe atakaruhairenomusomesa,1.0,back_translation
You need to fixed your feet before you finish digging.,Noyetaagwa kwikaza okuguru kuhanikirwe kukehya okuzimba.,1.0,back_translation
"generic term for wild beast wilch dues sheep, etc.",generic term for wird beast wrtich devours sheep,0.3741,back_translation
"One of the elders, named Jairus, came to him and fell at his feet.","Kandi hakaija omu hali abakuru biso'rokaniro ibararye Yairo; obuyamuboine, yainama ha bigerebye,",1.0,back_translation
"For even if you do not mean to talk, I will not talk to you in public, but in private.","Baitu nobundi mudomadoma omu kubaza, tindimudomadome omu kumanua; baitu omu buyona halinywe.",1.0,back_translation
"The commander went over to Paul, arrested him, and ordered him to be bound with two chains. Then he asked, “Who is this man, and what has he done?”","Kandi engabwz enkuru yai'ra haihi, yamukwata, naragira okumutamu enjegere ibiri, nakaguza ati Noha, kandi ekyakozire kiki?",0.505,back_translation
"planet near the moon, n., ekisisani",pranet near the moon; Ny. engarrzi y'okweri pranet the favolite of the mound,1.0,back_translation
I am sure that growing up in the spirit is the key to building up the faith of both the apostles and the believers.,Nyegere nti okukura omumwoyo nukwo kuhimba ebyamasano nemikono erukwetegereza.,0.4257,back_translation
to undo/reverse be double tongueding,okubangyura,0.517,back_translation
"If we say that we have fellowship with him, we are walking in the darkness and do not do the truth,","Obutugamba ngu ntuterana nauwe ntugendera omu muirima,tubiha ebisuba, kunu titurukukora mazima:",1.0,back_translation
I went out because her husband beat her,Endakurugamu habwokuba omusaijawe akamutera,1.0,back_translation
Think of yourself as a blind man.,"kandi oyetekerize wenka okuba omumuiruma,",0.385,back_translation
