lunyoro,english,domain,pos,letter
Egaranjura,"to tum over and over in bed, turn a somersault",General,verb,E
Egegeeza,to move slowly and carefully; pretend to be good; ill or poor; insinuate oneself,General,verb,E
Egejageja,to malinger,General,verb,E
Egemba,to shave oneself,General,verb,E
Egemuliza,to fetch one's food,General,verb,E
Egesa,"to teach, educate",General,verb,E
Egendereza,"to go carefully, be circumspect",General,verb,E
Egerekera,to fall on the top,General,verb,E
Egiza,to pretend,General,verb,E
Egomba,"to desire, covet, lust after",General,verb,E
Egombooza,to choose for one self,General,verb,E
Egooora,to wash down (food with drink),General,verb,E
Egonyoorra,to stretch oneself,General,verb,E
Egoromora,"to throw oneself into danger, exile oneself",General,verb,E
Egura,to come upon un expectedly,General,verb,E
Egurukya,to deny having done,General,verb,E
Ebaabaatira,to depend on one's own efforts (said of an active poor person),General,verb,E
Ebanguura,to clear the throat noisily,General,verb,E
Ehaisa,"to flatter oneself, boast",General,verb,E
Ehakana,to deny knowledge of,General,verb,E
Eharaigura,to shed leaves of branches,General,verb,E
Ehayo,"to offer oneself, deliver oneself up",General,verb,E
Ehehenura,to try to do good work like others do,General,verb,E
Ebengeka,to lean sideways,General,verb,E
Ehenyenga,forge,General,noun,E
Ehiga,"to step out of the way, dodge, shrink back",General,verb,E
Ehindura,"to disguise oneself; tum from one side to another, go round and round",General,verb,E
Ehingahingisa,to be changeable,General,verb,E
Ehinyira,"to do diligently, work hard at",General,verb,E
Ehonda,to hit oneself by mistake,General,verb,E
Ehohoora,to shed skin (as snakes),General,verb,E
Ehoima,To be quarrelsome,General,verb,E
Egangaaza,"to put on airs, be affected; keep to oneself, behave disobediently",General,verb,E
Eganya,"to be lazy, weak",General,verb,E
Eganyiirra,become lazy,General,noun,E
Egarukamu,"to repent, reconcile",General,verb,E
Egegecrra,to handle carefully,General,verb,E
Egeka,to lay on the ground,General,verb,E
Egema,"to bend, be flexible",General,verb,E
Egemura,to deliver oneself up to justice; take risks,General,verb,E
Egendera,to take oneself off,General,verb,E
Egenya,To frown,General,verb,E
Egereka,to wear outer cloth(women) extending from the shoulders down to the legs,General,verb,E
Ego,extend regards to the people at home,General,noun,E
Egogeza,to be self,General,verb,E
Egonesa,to feign sleep,General,verb,E
Egoora,to enjoy oneself,General,verb,E
Egotagota,to coil oneself round (e.g. snake),Common Animals,verb,E
Egumya,to refrain; bear up; restrain oneself,General,verb,E
Eguruma,"to walk elegantly, put on jars",General,verb,E
Egwizagwiza,"to deteriorate, fall into bad ways",General,verb,E
Ebaabira,to boast,General,verb,E
Ehaga,to puff oneself out; lift with great force,General,verb,E
Ehanuuza,"to seek advice from, consult",General,verb,E
Eheerraaniza,to come in close contact with,General,verb,E
Ehara,"to scratch oneself, avoid",General,verb,E
Eheha,to clean oneself after defecating,General,verb,E
Ehemura,to debase oneself,General,verb,E
Ehenda,"to break a limb; behave well, give up bad practice",General,verb,E
Ehengesa,"to pretend to be alright, satisfied or not to desire do something",General,verb,E
Ehenya,to search diligently,General,verb,E
"eh.tita,",to work tirelessly,General,verb,E
Ehimba,"to bold oneself well, walk uprightly",General,verb,E
Ehinguliriza,"to surround, go round",General,verb,E
Ehinza,to suddenly change one's mind,General,verb,E
Ehiringisa,to roll,General,verb,E
Ehonga,to dedicate oneself,General,verb,E
Ebooga,to republic an acquaintance,Politics And Current Affairs,verb,E
Ehotoleza,"to twist; appear weak, hungry, sad or tired",General,verb,E
Ehoza,to lend,General,verb,E
Ehugika,"to be tipped up, be awry",General,verb,E
Ehugyabugya,to be deliberately in attentive,General,verb,E
Ehungura,to put on airs,General,verb,E
Ehuuga,to rinse,General,verb,E
Ehuura,to throw oneself on the ground,General,verb,E
Ebwenjeka,they walked very fast to go and see the newly born child,General,noun,E
Ehwenjeka,"to withdraw from company, keep to oneself",General,verb,E
Ebyohya,to change one's mind,General,verb,E
Ejaahiika,to dress up in beautiful clothes,General,verb,E
Ejubura,to wash in a hurry,General,verb,E
Ejuura,to undress oneself,General,verb,E
Ejumb,to rush in doors or into a hole or forest,General,verb,E
Ejuumura,tum oneself right way up,General,noun,E
Ejwaogajwanganiza,to mix with others as one of them,General,verb,E
Ekaarraamuza,"to gargle, clear the throat",General,verb,E
Ekabisa,to pretend to be dead,General,verb,E
Ekamba,"to be deligent, work hard",General,verb,E
Ekamuura,to squeeze oneself; to give out what you have and remain with nothing,General,verb,E
Ekanga,"to be indolent, lazy",General,verb,E
Ekangaara,"to hung back, be afraid of coming near",General,verb,E
Ekanyagiza,to be active or energetic,General,verb,E
Ekaranduza,to clear the throat,General,verb,E
Ekeerreema,to reflect_ ponder,General,verb,E
Ekenga,"to know oneself, be cautious, beware",General,verb,E
Ekengesereza,"to pretend to know, imagine foolishly, guilty consciousness",General,verb,E
Ekiima,to pass stool with force due to constipation,General,verb,E
Ekima,to bide,General,verb,E
Ekingira,to shut oneself in,General,verb,E
Ekoba,"to plot, conspire, join together for a purpose",General,verb,E
Ekoma,to choose oneself; be quarrelsome,General,verb,E
Ekomoorra,"to break free, slip away; give away all, spend all",General,verb,E
Ekonga,shrug the shoulders,General,noun,E
Ekopa,to buy on credit,General,verb,E
Ekoroza,"to pretend to cough, announce oneself",General,verb,E
Ebotoora,to rub oneself,General,verb,E
Ehotora,To wind,General,verb,E
Ehugura,"to avoid, get out of the way",General,verb,E
Ehugya,"to ignore, pretend",General,verb,E
Ehungutura,"to talk or act widely, be deceptive (in apprearance)",General,verb,E
Ebungya,to wash one's feet in the dew; flick away,General,verb,E
Ebuurra,"to think highly of oneself, be arrogant",General,verb,E
Ehuuta,to walk very fast,General,verb,E
Ehwisa,to feign ignorance or innocence,General,verb,E
Ebyahyaniza,to fidget,General,verb,E
Einganiza,to pull down and arrange ones clothes; compare oneself with,General,verb,E
Einun,to leave off working on one's own responsibility at rich food,General,verb,E
Ejugumur,"to shake itself (animal when wet, etc.); behave like or tum into a wild animal, be quarrelsome",General,verb,E
**ejulinga**,"to roll in mad, play in dirt",General,verb,E
ej unjubika,to wrap oneself up in a piece of cloth as result of cold,General,verb,E
Ejuumika,"to lie on one's stomach and face, fall forward place upside down",General,verb,E
ejw eka,oneself,General,noun,E
Ekaakura,to scratch oneself,General,verb,E
"ekagu ra,","to taste(food) again, repeat",General,verb,E
Ekaguza,"to examine oneself, reflect",General,verb,E
Ekanaisura,"to rebuff, shake off, tum angrily away from",General,verb,E
Ekanika,"to run steadily, work vigorously, exert all one's strength",General,verb,E
Ekebura,"to tum the back on, turn away",General,verb,E
Ekeehereza,to draw in stomach,General,verb,E
Ekcndura,to gird oneself tightly,General,verb,E
Ekeneekuruza,"to drain (cup, etc.}, drink the last drop",General,verb,E
Ekenyera,"to creep up, approach timidly, avoid being seen, draw back",General,verb,E
Ekilka,to be cross wise,General,verb,E
Ekindikira,"to gird round the waist, prepare for action by tucking up garments",General,verb,E
Ekinga,"**to shut itself{door), window) **",General,noun,E
Ekitakita,to Hit hither and thither,General,verb,E
Ekomakom,"to pilfer, eat a little of whatever item of food that comes in one's way",General,verb,E
Ekomba,to lick or smack the lips,General,verb,E
Ekooka,to retch,General,verb,E
Ekoza,"to work without supervision, do one's own wish",General,verb,E
Ekoonyera,to help oneself,General,verb,E
Ekuba,"**to sway, retire to one side**",General,noun,E
Ekubakuba,to become tangled,General,verb,E
Ekubirana,to take one's ease,General,verb,E
Ekuda,"Go to bed, lie down (used contemptuously as of a dog)",Common Animals,verb,E
Ekugusa,to slip past,General,verb,E
Ekulinga,to sit down in the dirt or mud,General,verb,E
Ekulingilrra,"to be round, spherical",General,verb,E
Ekumba,to join with others,General,verb,E
Ekumbya,to roll oneself,General,verb,E
ekuJJuukiriza,"to reach after, stretch forward for",General,verb,E
Ekuuba,to rub oneself with or against,General,verb,E
Ekuusa,to rub oneself,General,verb,E
Ekuuta,"to smear oneself, rub oneself with a sponge",General,verb,E
Ekwasa,to make excuses,General,verb,E
Ekwata,to take hold of oneself; be selfish,General,verb,E
Ema,"to take one's stand, stand up; rebel",General,verb,E
Emangalika,"to behave in an un natural manner when excited, show off",General,verb,E
Emanya,"to be selfish, vain",General,verb,E
Emanyisa,to make oneself,General,verb,E
Emara,"to have enough money for one's needs, to",General,verb,E
Emeenya,to pull out one's hair,General,verb,E
Emeerra,"to stand upright, stand still",General,verb,E
Emeza,To spring up from selfsown seed,General,verb,E
Emigiza,to squeeze oneself against,General,verb,E
Emogora,to make a grimace,General,verb,E
Emwa,to shave oneself,General,verb,E
Ena,All of me,General,noun,E
Eoaga,"to throw oneself about, sway (in dancing)",General,verb,E
Enegura,to regain one's strength,General,verb,E
Enekya,"to pretend to be weak, relax",General,verb,E
Engcra,to put salt in water and bring cattle to drink; be ripe,Common Animals,verb,E
Eogereza,"to be nearly ripe, be red hot",General,verb,E
Enomba,to paint one's face with chalk,General,verb,E
Enuuba,"to become miserable, unhappy",General,verb,E
Eoyini,"self, selves",General,noun,E
Enyinya,"to take up handful of termites, etc. An eat them raw",General,verb,E
Enywagiza,"to put oneself forward, be proud, naughty",General,verb,E
Epaoka,to be proud,General,verb,E
Eraga,"to vow, pledge, promise",General,verb,E
Eraganiza,to promise to give or pay,General,verb,E
Ekubiraniza,to change mind now and then,General,verb,E
Ekubiriza,earnestly entreat,General,noun,E
Ekukumika,"to hide, escape",General,verb,E
Ekuliiriza,to take upon oneself,General,verb,E
Ekulingura,"to roll, wallow",General,verb,E
Ekuma,to sit nicely,General,verb,E
Ekuoika,"to be proud, be stuck up, give oneself airs",General,verb,E
Ekunikira,"to mock, look down upon",General,verb,E
Ekuuma,to chew the cud,General,verb,E
Ekuurra,"to drag oneself along, crawl",General,verb,E
Ekuuyuuya,to shade wings (termites),General,verb,E
Ekuza,"to exalt oneself, be proud, uppish",General,verb,E
Ekweya,to trail on the ground,General,verb,E
Ekwotora,"to steal along, slip away",General,verb,E
Emaanyura,pull out one's hair,General,verb,E
Emaarra,to finish by or for oneself,General,verb,E
Emanyilrra,"to know oneself, of one's behaviour",General,verb,E
Emanyliza,"to exercise oneself, practise, become accustomed to, gain experience",General,verb,E
Emaramara,stroll about. pass the time away,General,noun,E
Embi,Both,General,noun,E
Emererwa,To have pain,General,verb,E
Emcsa,"to stir up, invite, take to stud",General,verb,E
Emiima,**to gather one's force for a jump**,General,noun,E
Emiimigiza,"to hold oneself in, restrainoneself, refrain",General,verb,E
Emya,"to serve (bulls; cows), cause to conceive",General,verb,E
Emyalyamyalik,to be covered with confusion,General,verb,E
Enagira,to throw oneself cloth over the shoulders,General,verb,E
Endereza,"to oppress, bully, afflict",General,verb,E
Enga,"to grow ripe, mellow; get red; turn reddish from over growth (negro hair)",General,verb,E
Engengeta,"to shine, glitter, be dazzling",General,verb,E
Enguka,"to be yellow, become red hot",General,verb,E
Eoka,"self, selves",General,noun,E
Enyanyaiba,to shrink in disgust from looking at or touching,General,verb,E
Enyeesa,"to puff oneself up, pride of oneself",General,verb,E
Eoyuma,behind,General,noun,E
Eraami,word of entreat said by a person when praying for mercy to an executor he knows very well,General,interjection,E
Epipiza,"to fan oneself, (sign of getting too hot)",General,verb,E
Era,"to be white, be clear, be plentiful, be ripe(millet)",General,verb,E
Eragaza,to wipe oneself,General,verb,E
Eragiisa,to do something one will not,General,verb,E
Empooka,survivor,General,noun,E
Empooza,"taxi levied, dues, customs",General,noun,E
Empugutani,"forgetful, scatterbrained person",General,noun,E
Empuka,east wind,General,noun,E
Empulirro,ear passage,General,noun,E
Empumbe,"delicate, rickety, under-sized child someone who is dull",General,noun,E
Empunu,"Pig, wild bear",Common Animals,noun,E
Empunika,weed: a small weed that rabbits enjoy to eat. It has small yellow flowers and is common in banana plantations,General,noun,E
Empuruutuke,a visitor who brings bad luck,General,noun,E
Empuruzi,messenger or someone who is sent to inform others about the death that has occurred,General,noun,E
Empuukure,alcohol: alcohol that has over stayed and become sour,General,noun,E
Empuumo,low pitched sound of a fastmoving object,General,noun,E
Emungwe,weevil: a snout beetle often found feeding on stored grain and seeds,General,noun,E
Emurikamihay,manifesto: a public declaration of principles and intensions during an election,Politics And Current Affairs,noun,E
Emyerande,potatoes uprooted from runners,General,noun,E
Emyotso,roasted bananas or potatoes: cooked using heat especially on open flame,General,noun,E
Encugura,diarrhoea: very watery stool defecated by humans and animals as a result of a stomach infection,Health & Medicine,noun,E
Encuju,tick: a small insect that bites animals and sucks blood,Common Animals,noun,E
Encumbwe,bee wax: the yellow to greyish brown wax,Common Animals,noun,E
Encundwa,cow: a cow whose milk yields plenty of butter,Common Animals,noun,E
Encuriko,medicine: local herbs given for threatened mis courage,General,noun,E
Encuubwa,an outcast person: a person who has been disowned by relatives due to bad behaviour,General,noun,E
Encwamutwe,Calf: a young of domestic cattle,Common Animals,noun,E
Encwekye,someone who dies childless,General,noun,E
Endaaba,ornament: a form of ornament beads (chain),General,noun,E
Empuruuturro,"sliding loop, noose, bow",General,noun,E
Empuuhe,house where there is not much food,General,noun,E
Empuuhira,spotted caterpillar which likes feeding on leaves,Common Animals,noun,E
Empuunahuuni,"dense, slow or deliberate person",General,noun,E
Empuunisa,nasal sounds,General,noun,E
Empwera,red sorghum used for fermenting banana wine,General,noun,E
Empwerwa,utterly destitute person,General,noun,E
Empya,way of burning,General,noun,E
Empyangya,"scandal monger, busy body, deceitful person",General,noun,E
Emyarro,type of grass used for spreading in houses of the ancestral spirits of the Bacwezi,History And Historical Accounts,noun,E
Emyehurro,"conceit, boastfulness",General,noun,E
Emyekuniko,"pride, arrogance, unnecessary quietness",General,noun,E
Emyesungo,"cheeky, rudeness, perversity, affectation",General,noun,E
Emyeteso,behaviour like that of a spoilt child,General,noun,E
Empotokwa,potatoes dug up and left on the ground,General,noun,E
Empotole,undiluted sweet banana juice,General,noun,E
Empuku,weevil,General,noun,E
Empulirizo,small opening of cavity,General,noun,E
Empungira,sleeping-sickness,General,noun,E
Empungu,"kite, a large bird of prey",Biology,noun,E
Empurizana,Communication,General,noun,E
Empurizigana,"communication: to make opinions, feelings, illnesses, etc known or understood by others through radios, letters, phones, etc",General,noun,E
empuuhu,inner lining of the mouth when peeled,General,noun,E
empuuhu,1) hides and skins: hide thinned by scrapping. 2) person who has lost wealth,General,noun,E
empwa-bwoba,a brave person: a person who is willing to do things which are difficult or risky,General,noun,E
Empwisi,"senile: to be too old. Being too old e.g. above 100 years, where one has lost all the senses and memory",General,noun,E
Emwe,one: the smallest whole number represented numerically as 1,General,numeral,E
Emyejwera,red eyes: a chronic and highly contagious disease of eyes characterised by redness and painful eyes,Health & Medicine,noun,E
Enaama,secret: information shared by a few people when they don't want others to know,General,noun,E
Enanaasi,pineapple: a large sweet tropical fruit with a mass of thin and stiff leaves on top,General,noun,E
encumate,balls of cow ghee or butter,Common Animals,noun,E
Encunku,sour beer: cold beer which has spent a long time after brewing,General,noun,E
Encurazaara,old woman: a woman who has finished producing and has reached menopause,General,noun,E
Encuukye,weaned child: a child that is no longer breastfeeding,General,noun,E
Encwamba,**death bed: when a person is too ill and almost dying**,General,noun,E
Encwera,cobra: a venomous Asiatic and African elapid snakes that can expand the skin of the neck into a hood,Common Animals,noun,E
Emputa,wounded person,General,noun,E
Empuuga,"patches on cattle, spear blade which is polished on one side only",Common Animals,noun,E
Empuuka,"disease accompanied by swelling of the abdomen, dropsy",General,noun,E
Empuule,"unground millet, loose grain",General,noun,E
Empuuta,handkerchief or bandage worn around the head,General,noun,E
Empwamaani,"invalid, weak, passive person",General,noun,E
Empwiju,bark used for smoking in a pipe,General,noun,E
Empwite,"very old person, senile",General,noun,E
Empyo,crocodile,Common Animals,noun,E
Empyora,"scaly syphilitic skin, disease causing light patches on the skin, scars",General,noun,E
Emyehaahiro,"boasting, selfishness",General,noun,E
Emyehembo,"conceit, boastfulness",General,noun,E
Emyekuzo,"conceit, boastful",General,noun,E
emyenda ya'bunyoro,"praise, self-exaltation, boasting",General,noun,E
Emyetuno,"showing off, affectation, vanity",General,noun,E
Emyombekere,"style of building, architecture",General,noun,E
Emyoro,osier used for making baskets,General,noun,E
Enaanaasi,pineapple,General,noun,E
Enanga,yellow beetle with black spots which children put on a stick as a toy,General,noun,E
Encampalya,withered breasts,General,noun,E
Encikinya,Flies,General,noun,E
Encompya,"untrustworthy, deceitful person, mischief-maker",General,noun,E
Encunda,churning; rough bits of hair on a hide,General,noun,E
Encundiro,large gourd or basket with a cover for storing cow ghee,Common Animals,noun,E
encwa mutwe,calf before horns have grown,Common Animals,noun,E
Encwangya,"tricky person, unreliable person",General,noun,E
Encweki,one whose children have died,General,numeral,E
Ecwera,"African cobra, viper, black adder",Common Animals,noun,E
Endaade,"large, long-legged cock",Common Animals,noun,E
Endaaho,castrated animal: an animal whose testicles have been removed,General,noun,E
Endaare,unweeded plantation: a plantation especially of bananas that has overgrown weeds,General,noun,E
Endaariro,a light evening meal; served at night,General,noun,E
endanga-muntu,identity card: a document that shows the personal identification of somebody,General,noun,E
Endamuhyo,greeting: a message of good wishes for somebody,General,interjection,E
Endarira,bush: growth that has not been burnt by fire,General,noun,E
Endasi,"pulse as a sign of life, vigour",General,noun,E
Endaaza,banana wine which has stayed overnight after being removed from the fermentation pit,General,noun,E
Endaawa,a castrated bull,Common Animals,noun,E
Endagaano,"agreement, covenant, bargain",General,noun,E
Endagalika,"odd one, fallen thing",General,noun,E
Endahiro,"oath, vow, protestation",General,noun,E
Endale,wild yam,General,noun,E
Endangaazi,hartebeest,General,noun,E
Endangira,calabash with long neck for banana wine,General,noun,E
Endeberwamu,"looking-glass, mirror",General,noun,E
Endebolebo,"border, edge",General,noun,E
endeebya,traitor or betrayer: A person who is not loyal to his or her people or country,Geography,noun,E
Endege,an aeroplane: a flying vehicle with wings and one or more engines,Transport,noun,E
endengo,maize tussles: the coloured part of maize plant that carries pollen,General,noun,E
endengwa-mwaka,stored crops: crops that have been kept in store for a longtime,General,noun,E
Endibaariba,flowers of a thorny coral tree,General,noun,E
Endibatiro,footprint: a mark left on a surface by a person's foot or shoes or by an animal's feet,General,noun,E
Endihano,a fine: an object obtained as a fine in replacement of what was damaged or stolen,General,noun,E
endiira-kukinduka,gluttony: a person who eats too much,General,noun,E
endindi,bellows: an apparatus for blowing air into or through something,General,noun,E
Endingiri,one stringed violin: a musical instrument with one string,Art And Entertainment,numeral,E
Endambi,tapeworm,General,noun,E
Enaku,"need, trouble, grief, sorrow, misery, poverty type of small caterpillar",Common Animals,verb,E
Encaru,"a blue bead, necklace of blue beads given by king to a chief on his promotion",Governance And Administration,noun,E
Enamba,hole in the earth,General,noun,E
Enceke,"weakly person, invalid",General,noun,E
Encoobe,a gourd of banana wine presented to the in-laws during traditional ceremonies,General,noun,E
Encu,fish,General,noun,E
Encuro,a measure; time,General,noun,E
Encwa,way of judging a case,General,noun,E
Encwekamatu,goat (animal) that has had its ears cut off,Common Animals,noun,E
Enda,"louse, stomach, womb, interior of anything, a pregnancy",Health & Medicine,noun,E
Encwarrano,bul calf fattened for eating,Common Animals,noun,E
Endaaki,"trench: a long deep hole dug in the ground in which soldiers can be protected from enemies, fire or attacks",Military,noun,E
Endaani,a tunnel: a hollow space dug in the ground and stretches underground,General,noun,E
Endaaro,(usually used with enda y'endaaro) pregnancy conceived before marriage,Health & Medicine,noun,E
Endagiiriro,sign post or map of a place: a sign at the side of the road giving information about the direction and distance of places,General,noun,E
Endango,flag: a piece of cloth with special colours representing a particular country,Geography,noun,E
enda-nto,part of the abdomen below navel that contains urinary bladder and the womb in women,General,noun,E
Endeebeka,the appearance of somebody or something: the way someone or something looks,General,noun,E
Endeeberera,maintain ace: activity involved in maintaining something in good working,General,noun,E
Endabukano,present given to the king or chief,Governance And Administration,noun,E
Endabukya,"sharp, clever person",General,noun,E
Endagu,magic objects used in divination,General,noun,E
Endahi,"francolin, edible wild bird similar to chicken,, Perdix",Common Animals,noun,E
endamya,"worship, ritual",General,noun,E
Endebalebo,"insecurity, unsteadiness, about to fall off / into trouble",General,noun,E
Endebe,small bell-like ornament,General,noun,E
Endeeba,"shallow hole in which to tread bananas for juice which is then fermented as wine, wine press, vat",General,noun,E
Endeeberwamu,mirror: flat glass that you look into in order to see yourself,General,noun,E
Endeme,"rogue: a person who behaves badly, dishonest and immoral",General,noun,E
endengo,a container for measuring quantity of foodstuffs,General,noun,E
endenza-mutima,an idiomatic way of talking about the end of something or somebody's life,General,noun,E
Endengerezi,miser: a person who is so mean with his goods,General,noun,E
Endiboota,bale: large quantity of something pressed tightly together and tied up,General,noun,E
endiga,knife: a sharpened knife that is specifically used in slicing meat,General,noun,E
Endiiso,sauce: a thick hot or cold liquid that you eat on or with food,General,noun,E
endindi,1) the rods that are moved up and down by hand to operate the bellows in the blacksmiths forge. 2) the rods that are rotated to and from in a hole in a stationary stick on the ground in making fire by friction,Physics,noun,E
Endinzi,a nation of a protectorate,Geography,noun,E
Endiza,milk pots: wooden pots used in milking and storing milk,General,noun,E
Endoha,(of a person) to fall down flat on the ground,General,verb,E
Endoki,fisheries: the business or industry of fishing,General,noun,E
Endongoorano,a return gift something that is given as a present after a visit,General,noun,E
Endoora,short cows with short horns. They originated from Kigezi,Common Animals,noun,E
Endugiiriro,beginning: the place or time at which something starts,General,noun,E
Endundo,pile: a number of things piled together,General,noun,E
Endya,nutrition: a process of providing and receiving food necessary for health and growth,General,noun,E
Endyangatanisa,an untrust worthy person who takes something which does not belong to him,General,noun,E
Endehwa,Fine,General,noun,E
Endeku,"gourd with long neck, calabash container with restricted space towards its middle",General,noun,E
Endembeezi,water put in a gourd hung at entrance of house,General,noun,E
Enderalera,lower part of abdomen,General,noun,E
Endere,type of maize suitable for pop-corns,General,noun,E
Endigito,sound of running footsteps,General,interjection,E
Endiirakumara,a wild dog,Common Animals,noun,E
Endimi,"languages, tongues",General,noun,E
Endimiro,"cultivated plot, field",General,noun,E
Endobo,fish-hook,General,noun,E
endoboota z'engoye,bales of clothes,General,noun,E
Endogo,a type of bark cloth,General,noun,E
Endogoya,donkey,Common Animals,noun,E
Endora,name given to nice cows and to certain of the king's cows,Governance And Administration,noun,E
Endubata,"gait, walk, pace, sun-dried meat",General,noun,E
Endugaho,"eyewitness, first hand information, true report",General,noun,E
Endugirro,"start, origin",General,noun,E
Enduko,"dry stalks of millet, papyrus, palm leaves for making baskets",General,noun,E
Endumbiizi,"generic term for wild beast which devours sheep, goat boar",Common Animals,noun,E
Endurwa,"gall, gallbladder",General,noun,E
Enduuru,a cry made while rapidly tapping the mouth,General,noun,E
Endyabagole,type of banana,General,noun,E
Endyanku,axe: a tool used in splitting wood into pieces,General,noun,E
Eneema,grace: God's mercy and favour towards mankind,General,noun,E
Enfaano,meat from an animal that died of natural causes,General,noun,E
Enfunzi,a small reddish brown or black birds that usually go or fly in groups of three and above; they like making their nests in plantations especially coffee or banana plantations,General,noun,E
Enfurebe,a handbag made from untanned hide or skin carried by men,General,noun,E
Engabirano,talent: a natural ability to do something well,General,noun,E
Engabo,"shield: a tool that is used for protection against spears, stones in attack during war",General,noun,E
engambi,"a word or group of words that express an action, an event or state of affairs",General,noun,E
Engamira,camel: an animal with a long neck and one or two humps used in desert countries for transportation,General,noun,E
Endonde,cows that like segregating themselves from others when they are grazing,Common Animals,noun,E
endongo-buraaya,a very large sauce pan made of a hard metal used for mingling millet or posho,General,noun,E
Endosho,scoop: a spoon that is made out of soft wood,General,noun,E
Endozo,a small portion of food or drink taken by mouth to taste its quality,General,noun,E
Endungu,"large pot: a round container made of glass, plastic, metal, clay etc. for storing things",General,noun,E
Endwano,wars or conflicts,General,noun,E
Endegeya,weaver bird,General,noun,E
faabbiina,to work hard,General,verb,F
faafaana,"end in ruins, come to nothing, be destroyed, wear out",General,noun,F
faafaaniza,"to throw about, give away,waste",General,verb,F
faahongana,"to mind each other,care for each other",General,verb,F
faakalimba,rubbish,General,noun,F
faakara,"to be dirty, be uopresentable",General,verb,F
faakuuza,"to make a rustling noise (e.g. animal in grass), scuffle; plunge into pathless jungle ; eat fast and noisily",General,verb,F
faraano,flannel,General,noun,F
fataalti,gun cup,General,noun,F
feekya,to snuffle,General,verb,F
feekya feekya,to draw at a pipe,General,verb,F
feerra,"to die for on, on behalf of",General,verb,F
feerwa,died for us on the cross,General,noun,F
feeza,silver,General,noun,F
filsa,to be bereaved of (esp. children),General,verb,F
firilji,refrigerator,General,noun,F
firimbi,whistle,General,noun,F
fooba,"to plait, interlace; tack",General,verb,F
foobera,"of a soft thing, to be easily compressed, fall in and upward when pressed",General,noun,F
fooka,"become, be made, change, draw (a bow)",General,noun,F
foora,"to make, become, change; draw (a bow)",General,verb,F
foorogora,to change butter sauce from pot to bowl and bowl to pot till water in which butter is being cooked has changed to white; change meaning,General,verb,F
footooka,"to grow soft and 6abby, be deflated",General,verb,F
footookeerra,"to be vacillating, unsteady",General,verb,F
footora,to squash,General,verb,F
foototora,"to defecate, void feaces anonymously",General,verb,F
fuba,"to cause misfortune, bring bad luck",General,verb,F
fubata,to be tightly covered up,General,verb,F
fubeera,"to have second thought when you are ready to do something, e.g. spearing",General,verb,F
fubeereza,"dismay, confound",General,noun,F
fubeerra,"to slow down, be dismayed , draw back, slacken speed",General,verb,F
fubika,to wrap up (a person),General,verb,F
fubira,"to punish, frustrate",General,verb,F
fufuza,to go alone through dense forest,General,verb,F
fuguta,"to pump,blow (bellows)",General,verb,F
fuka,to grow cold; blow nose,General,verb,F
fukaana,to wrestle,General,verb,F
fukama,used of breasts of young girls about 16 years of age,General,noun,F
fukiiriza,"to cool with water, refresh",General,verb,F
fukumuka,to come out in large amount as water from gourd or rain from sky,General,verb,F
fukumura,to shake out (contents of gourd ),General,verb,F
fuleeteza,to tie tightly (as rope around the neck),General,verb,F
fuliiteza,"to choke, strangle",General,verb,F
fuma,"to prod, thrust",General,verb,F
fumba,to push away through (where there is no path); pass through dewy grass on the way when walking,General,verb,F
fumbagiriza,"to elbow one's way through, to push out of the way",General,verb,F
fumbasa,to clasp,General,verb,F
fumbata,to embrance,General,verb,F
fumbatiza,to clasp,General,verb,F
fumbiriza,"to push through, push against; dig hard",General,verb,F
fumuka,to be pierced through,General,verb,F
fumura,"to pierce, bore",General,verb,F
funda,"to be narrow, confined",General,verb,F
fundaaoa,"to be crowded together, be stifled,be suffocated",General,verb,F
fundikira,"to cover, stopper, put on lid",General,verb,F
funduka,"to come up (esp. mushrooms), grow(hump)",General,verb,F
fundukura,"to uncover, take the lid off",General,verb,F
fundura,uncover,General,noun,F
funduza,to show signs of coming out,General,verb,F
funga,to fasten (e.g. button),General,verb,F
fungiirra,to hold up (clothes),General,verb,F
funguka,to be djluted,General,verb,F
fungura,to dilute,General,verb,F
funuura,"to masturbate, push back foreskin of penis",General,verb,F
fuoya,to fold (trouser or sleeves); drive (flocks/herds),General,verb,F
funyiirra,"to turn up (trousers, etc.)",General,verb,F
funyika,"to crumple up, gather (in sewing)",General,verb,F
fuoza,"to make narrow, crush, confine, restrict crowd",General,verb,F
furafura,"to disparage, run down",General,verb,F
furuka,emigration,Geography,noun,F
furungura,"to dilute too much;disparage, run down, change meaning",General,verb,F
furuuta,"to be blistered, swell (as from bite or sting)",General,verb,F
futana,"to chew (soft substance), masticate",General,verb,F
fuuha,to creeper withvery strong smell (used by magicians to ward off evil),General,verb,F
fuuba,"to avoid, be jealous of (wife or husband)",General,verb,F
fuuhiza,to say God forbid,General,verb,F
fuubya,"to prevent (evil), ward off, forbid",General,verb,F
fuuka,"to bubble, boil fast, froth, foam lather",General,verb,F
fuukeera,"to breathe with difficulty through the nose, snore, have nose stopped up",General,verb,F
fu urra,"to cause to migrate, help one migrate; remove person or thing from one place to another",General,verb,F
fuuta,"to fill mouth with food; rub(leaves, etc.) in the hands till froth comes",General,verb,F
fuutafuutiika,"to bundle in any how, to stuff; p1: form",General,verb,F
faafa,carelessly,General,noun,F
