english,lun_words
"[GENERAL] -tllra I. ennana, a-, n. cl. 6, (used in pl.)",3
[GENERAL] the worms are exorcising it in order to kill pests,6
[GENERAL] The papyrus press has a picture of what it is.,5
"It is what I have said, and I will heal you",3
"[GENERAL] cateerwe en. itali mazi, o-, n. cl. 11, (pl. nil)",13
"[GENERAL] civet cat = bibujuguta, adv., ku-, oku-, v.i., (pf. -culeezi)",4
"[GENERAL] mask. na mugundu, o-, n. cl. 11, (pl. - o'clock),",12
"He went to Akiiki, a town in the province of Asia.",3
[GENERAL] The cow was hidden by a large bundle of flour.,4
[GENERAL] The cold weather and the rainy season began to fall.,5
[GENERAL] [GENRELIGIOUS] You put a spell on it and found it,6
"thinness of the legs. butagasi, o-, 11. cl. 14, (pl. nil)",1
[GENERAL] [GENRELIGIOUS] he asked them to turn away from his sins,4
[GENERAL] he prepared him for the purpose of making him clean,3
[GENERAL] he sat down in the waterless place of the river,6
[GENERAL] of millet to become soft against a person cooking it,10
The plant is planted on the top of the mountain Elgon.,6
"[GENERAL] lemon grass. tega, a-, n. cl. 6, (used in pl.)",3
[GENERAL] the leaves of the tree are sweet to the eyes,3
[GENERAL] [GENRELIGIOUS] he brought them all to their senses of happiness,4
"to love, choose for one self, (as girl choosing husban d)",1
a snake has coiled itself by the side of the way.,5
[GENERAL] A small bundle of flour does not reach the market.,4
[GENERAL] The vision of the watchman is guided by the watchman.,4
[RELIGIOUS] Religious demand is brought about by a lack of organization.,3
[RELIGIOUS] Revival is a sign of the world of the Spirit.,4
[GENERAL] a good sound that saves the picture to play well,6
[GENERAL] I have already told you before I go to bed.,5
"to pretend to be alright, satisfied or not to desireldo something",1
[GENERAL] [GENRELIGIOUS] The seeds of this vine have not been planted,4
[GENERAL] [GENRELIGIOUS] he sent him to be born in his house,4
"[GENERAL] c. form. tambukisa, a-, n. cl. 6, (used in pl.)",3
to use something as a cover from being seen by anyone,1
"[GENERAL] amate gatokore, there is a next body in the milk.",12
"[GENERAL] pick up, pick up, pick up, pick up, pick up",9
[GENERAL] Do you have a mild temper and a mild temper?,5
[GENERAL] The man is wearing a linen cloth during the day,4
Let us go to the diocese and then talk about it.,4
"[GENERAL] straw hole in which to tread bananas for beer, etc.",11
[GENERAL] The next month I will go to visit my mother.,4
"to have enough money for one's needs, to 76 satisfy oneself",1
he/she licked up rus/her lips amidst people and was laughed at.,3
people insert fingers down their throat so as to remove obstructions,6
"he/she smeared himself / I herself with jelly in darkness. ""'",3
it is shameful for a person to pass gas amidst people.,5
[GENERAL] [GENRELIGIOUS] I/I want to go and make him very happy,6
[GENERAL] It is not good for the child to be hungry,6
"[GENERAL] pr. of c., a-, n. cl. 6, (used in pl.)",3
they presumed to a fight which is beyond the ir strength.,3
[RELIGIOUS] Many others believed in him because of what he said.,4
The sower sows the seed with a view to the harvest,5
[GENERAL] to be proud he is clothed with all his armor,8
"[AGRICULTURE] odour of animals. k:imumi, o-, n. cl. 11, (pl. nil)",4
"[GENERAL] c. 360 -sekeerraine, a-, n. cl. 6, (used in pl.)",4
Have you ever been tested when you were suffering from cough?,4
a spinning top spins round on the ground which is flat.,5
The sea is tossed about by the wind like a flood,9
Jesus Christ 96 feerwa fubata died for us on the cross.,5
[GENERAL] a person who has been set up to do something,4
[GENERAL] beg by standing at a person or people eating food,11
[GENERAL] [GENRELIGIOUS] he is in the house and is not pregnant,3
[GENERAL] [GENRELIGIOUS] blame work on which sympathy is due to dry.,9
[GENERAL] grow at sides or a well that is du g,10
"[GENERAL] fatter of reeds. rusense, o-, n. cl. 11, (pl. nil)",4
it is sorrow that made him/her walk hurriedl y and sorrowfully,3
[GENERAL] [GENERAL] To break into pieces does not break into pieces.,4
[GENERAL] The passing of time has brought her to her senses.,4
"[GENERAL] I have told you these things, so love one another.",3
[GENERAL] They were happy and told him to give him money.,4
"[GENERAL] c. form. rahya, a-, n. cl. 6, (used in pl.)",3
[GENERAL] stand on tip to so that you may reach up,11
[GENERAL] [GENRELIGIOUS] when a person is buried in en.Jara ende e/ebera,7
"to lean over, bend (as a tree), fall with a crash",1
to mount (cock or male bird) for the purpose of mating,1
"[GENERAL] c. form. osa, a-, n. cl. 6, (used in pl.)",3
[GENERAL] [GENRELIGIOUS] they were writing to find the guests not settled,4
"[GENERAL] pr. of c. fonn, o-, n. cl. 11, (pl. nil)",4
"[GENERAL] pass of c.fon n, o-, n. cl. 11, (pl. nil)",4
[GENERAL] [GENRELIGIOUS] I am looking for a airport like a bird,4
"hanju freemeriireho ekldongodollgo, a heron is standing on the house (lit",1
"to tie up (dog, goat) by the oeck in the house",1
to be with young (of cows near t ime of calving),1
"[GENERAL] swelling of abdomen. ntwiga, o-, 11. cl. 14, (pl. nil)",4
"[GENERAL] graffle. nu! int., a-, n. cl. 6, (used in pl.)",3
"[GENERAL] pass of c.form. nyakibwa, o-, n. cl. 11, (pl. nil)",4
to make 120 biirWS hingisa sound of rushing wind or water,1
"[GENERAL] because of sin, but they did not believe in me.",4
[GENERAL] Happy is the one who does not think about sin.,4
"[RELIGIOUS] But Jesus was in the middle of them, walking away.",4
[GENERAL] You have strengthened him with the arm of your hand.,4
"[EDUCATION] That is what you have done, and you will teach.",4
He wrote a book and discussed many things he had seen.,4
"to try to get food in other people 's houses, sponge",1
"to come to an end, be finished (Generally used with suffix",1
"[GENERAL] a large fish. nsaagi, o-, 11. cl. 14, (pl. nil)",4
[GENERAL] [GENRELIGIOUS] the people of the city will not be many,6
he/she remembered him/ her after he/she had already passed him/ her,5
All the food in the garden has come to an end.,4
[GENERAL] and some of you have opposed others to the truth.,4
[GENerAL] Happy is the person who does not think about sin.,4
"[GENerAL] the son of Mattathias, the son in law of Simeon,",4
[GENerAL] Happy are all those who do not sin against me.,5
"[RELIGIOUS] Jesus said to him, “I will come and heal you.”",4
"[GENERAL] Even if I asked you, you will not answer me.",3
[RELIGIOUS] For he has called his own people and saved them.,4
they found the planta in wine in the calabas h diminished,6
a title given to the Kings of Bunyoro-K itara and Tooro,1
"[GENERAL] conceived. mycbuu llo, a-, n. cl. 6, (used in pl.)",3
"[GENERAL] flowers of omuko. nrigito, o-, n. cl. 11, (pl. nil)",4
"[GENERAL] wide spotted hyaena, a-, n. cl. 6, (used in pl.)",3
"[GENERAL] pointed end of ngundiiz, o-, n. cl. 11, (pl. nil)",4
"[GENERAL] wooden cl. mutaisi, a-, n. cl. 6, (used in pl.)",3
[GENERAL] the second of clan's Mucwezi of the clan (old days).,10
"[GENERAL] a well possessed Lady, o-, n. cl. 11, (pl. nil)",4
[GENERAL] a tall grass used for thatching and for making mats.,10
[GENERAL] expression for apeson who is very firm in his/her position,13
[GENERAL] [GENRELIGIOUS] our ancestors raised him to life in the world,3
"[GENERAL] descend. matangani en, a-, n. cl. 6, (used in pl.)",3
"[GENERAL] a winding road. mazaarwa, o-, n. cl. 11, (pl. nil)",4
"[GENERAL] a dry srub. mbyamwamu, o-, n. cl. 11, (pl. nil)",4
"[GENERAL] foot of bed. mirabirizo, o-, n. cl. 11, (pl. nil)",4
"[GENERAL] emp. etaga aruka, a-, n. cl. 6, (used in pl.)",3
it has rained on him/her · ' made him /her wet,3
"[GENERAL] When they got into the boat, the wind died down.",4
"[RELIGIOUS] But Jesus was in the middle of them, walking away.",4
[GENERAL] I will pay back to them what I have earned.,3
[GENerAL] They were pleased and told him to give him money.,4
[GENerAL] Many others believed in him because of what he said.,4
"[GENerAL] oduru of animals. k:imumi, o-, n. cl. 11, (pl. nil)",4
"[GENERAL] Avoid all kinds of evil things, just as sin does.",4
"[GENerAL] light shined man. Rujungu, o-, n. cl. 11, (pl. nil)",7
"[GENerAL] amate gatokoire, there is a next body in the milk.",12
"[GENerAL] beater (in hunting). mwahuko, o-, 11. cl. 14, (pl. nil)",9
"to spread, grow big (trees), look very big and fearsome, (tuuma)",1
[GENERAL] the letter 'l' which is pronounced with tone and lips,10
[GENERAL] person with waste like that of an ant or wasp.,12
But they did not understand what he was saying to them.,4
"When the sun is setting, it will not shine on it.",4
"[GENERAL] s parks. masasi, a-, n. cl. 6, (used in pl.)",3
"[GENERAL] hip JOLTilS. masonsolya, a-, n. cl. 6, (used in pl.)",3
name of a man who has lo st all his relatives,1
pigeon supposed to bring bad luck when it enters one's house.,2
"name of a person, title given to wife by her husband",1
"joining word, (or kuba) if (in case of an impossible condition).",2
which is boiled with tea or coffee to produce an aroma.,2
a mound on which t he Royal drum Mpango is beaten,1
neckless of bead work on 'ii foundation of stick or cloth,1
"song sang by women in praise of Kings, chiefs, or friends",1
"[GENERAL] omun1St111ra ala 1bire, a-, n. cl. 6, (used in pl.)",3
He didn't finish the song because of his lack of faith.,4
[GENerAL] he invited the guests to come and talk to them,10
"[GENerAL] make a c. ragaaoa, adv., ku-, oku-, v.i., (pf. -ragaaaao)",4
"to be begin to dig a new plot, prepare for sowinged",1
"to undo/reverse begin to dig a new plot, prepare for sowinging",1
"make a favourite of, make a favourite of, make a favourite.",5
He will repay each person according to what he has done.,4
"[GENERAL] become emaciated. condoma, a-, n. cl. 6, (used in pl.)",4
"[EDUCATION] [ERICULTURE] lic 'emegayo omukama omugambizi ku-, oku-, v.i., (pf. -culeezi)",7
"They will be my people, and they will be my people.",4
"When the crowds heard it, they were astounded at his teaching.",4
So he did not open his mouth for a little while.,3
"Which one of the elders, then, would dare to welcome him?",4
cyst or any hollow organ inan animal containing a liquid secretion,1
"tidy, arrange, senle a point, put in order, repair or amend.",2
he forced his mother to come to him and rescue him,4
"to cause to pour, spill hence pol ite way of maturation",1
"to be come close, receive holy communion = i""a, kw-, okw-,ed",1
"to undo/reverse come close, receive holy communion = i""a, kw-, okw-,ing",1
"to cause to bring near, give holy communion, serve (es p",1
"to bring near, give holy communion, serve (es p each other",1
title given to King meaning he that does not tolerate rebels.,3
to have curved horns whi ch nearly meet in front (canle),1
The owner of the vineyard forgave him and let him go.,7
"[GENERAL] ek. ky 'amaadaara, a-, n. cl. 6, (used in pl.)",3
"[GENERAL] Kituli Kinobere Abagemi, a-, n. cl. 6, (used in pl.)",3
"That is how I can prove it, as I should say.",4
"e-), a musicial instrument. kyaburamuti, e-, n.cl. 7, (pl. byaburamuti, e-)",1
"Even if I ask you questions, you will not answer me.",3
"[GENERAL] roughness of wood. kikugizo, o-, n. cl. 11, (pl. nil)",4
"[GENERAL] title of horn. kikukira, o-, n. cl. 11, (pl. nil)",4
"[GENERAL] cow. kingu ka, a-, n. cl. 6, (used in pl.)",3
"[GENERAL] return a present. kironko, o-, n. cl. 11, (pl. nil)",4
"[GENERAL] beat in the form of a glass ring, n., ekisisani.",8
"clay mortar with hole in centre, in which perfume is burnt",1
undiluted beer (the juice of which is not mixed with water).,3
going and corning back gave a fortune to a clay digger.,5
"to get to know, find out, learn bow to do, understand",1
[ELIGIOUS] [GENERAL] We teach students about the history of the world,4
[GENerAL] The man who did the work gave himself a hand,3
[GENerAL] I have not eaten like milk that has been caught,5
[GENerAL] The heavens tremble and they are amazed at his rebuke,5
[AGOVERNMENT] [GENERAL] We are going to grow crops for the year,4
the director helped him prepare the movie to watch the movie,8
"[GENERAL] a large stone. Kibaale, o-, n. cl. 11, (pl. nil)",4
[GENERAL] cooked millet which sticks to the sides of the pot.,10
"[GENERAL] k. kya Nyaganga, a-, n. cl. 6, (used in pl.)",3
"[GENERAL] species of termites. kwaono, o-, n. cl. 11, (pl. nil)",4
"[GENERAL] variety of mushroom. kanyangaro, o-, n. cl. 11, (pl. nil)",4
"[GENERAL] cunguru of last camp, o-, n. cl. 11, (pl. nil)",4
"[GENERAL] a mottled bean. kikakoomere, o-, n. cl. 11, (pl. nil)",4
They gave him a piece of meat that was not ready.,4
to be look for materials that are mixed to make omugajued,1
to undo/reverse look for materials that are mixed to make omugajuing,1
"to cause to be stopped up, join, be built in (e",1
A plant is planted in the same way that plants grow.,6
The place where we live is a place where we live.,4
The sound of a bird is the thing that surrounds you.,5
he appears as if he were a thief in the night,5
"adv., in a remote place, at far away end of country.",5
"When he said this, he sent a messenger to the people.",4
"[GENERAL] aka. ka hatama, a-, n. cl. 6, (used in pl.)",3
"[GENERAL] e.g. ensandaya kazi, a-, n. cl. 6, (used in pl.)",3
Happy is the person whose sins you do not think of.,4
"to be cook slightly and dry in the sun (enswa, etced",1
"to undo/reverse cook slightly and dry in the sun (enswa, etcing",1
[GENerAL] Do not let the rod of his mouth deceive you,4
"light shined on man. Rujungu, o-, n. cl. 11, (pl. nil)",7
"be made to suffer, make the bed ready for oneto sleep.",34
He listened to them and thought they were giving him something.,4
"“Don't do it,” they said. “Don't look at it,” they said.",3
"or om. wenda, one who talces all the food for self",6
"[GENERAL] c. from. bbasaniza, a-, n. cl. 6, (used in pl.)",3
"[GENERAL] a small sloth camule, o-, n. cl. 11, (pl. nil)",4
I will not give up even if I wait for you.,3
a creeper that will break a wild fig winds round it.,3
"wastrel, good for nothing. muhunguki, o-, n.cl. I, (pl. bahunguki, a-)",1
strip of matting spread for King to walk on ceremonial occasions,1
"below county chief. munyakyaro, o-, n. cl. I, (pl. banyakyaro, a-)",2
"complainant, prosecuto r. munyigi, o-, 11. cl. l, (pl. baoyigi, a-)",1
He first learnt early in the morning before going to work.,4
"to go out, come from doing something, come from each other",1
The dragon has 21 holes and it has a large shield,9
The songs of the guitar remind us of the old days.,4
he first read his essay before he left to teach it,4
"When they were born, many people started to sing a hymn.",8
[GENerAL] The price of maize has increased in the retail sector,4
"[GENerAL] Ciprofloxacin, azithromycin, ceftriaxone, a-, n. cl. 6, (used in pl.)",11
"to cause to ake out of m ud, pit, swamp, etc",1
"ekisumuruzo ky'orwigi, the child has mixed the key to the door",11
"c. form. t. itiza, a-, n. cl. 6, (used in pl.)",4
"to be next to, second in command to (of sub- chiet)",1
"to cause to compare, scrutinize two or three things before selecting",1
[AGICAL] [GENERAL] The grains of food are good for the fish.,4
[GENRELIGIOUS] [MEDICAL] I will not take this man away from me.,4
[GENICAL] They put the bags in the pocket and took them.,5
"to cause to go out, come from doing something, come from",1
her feet were not broken to pieces but to be broken,6
the children were instructed not to be expelled from the community,7
No one wants to fill us with anything in his hands,7
"The blood, the fire, and the sprinkle of blood poured out.",4
"free the car, make it roll or drive in free gear.",3
name given to nice cows or certain cows of the Kings,1
cow with large patches of white and red or blac ngabu,1
cloth arrange d for carrying a chil d on the back,1
laziness is unbearable and we are dying of a dreaded disease,4
"ekinfull kitenter near heculiire, a-, n. cl. 6, (used in pl.)",5
it requires a subj. personal prefix or pronom. agreed to express,11
He was sick and was suffering from a dreaded skin disease,5
make to stem of his thins for cleaning kook1Jsemerwa kw 'abaana,16
"to be striped of au, become poor. dodo, n.cl.9, (pl. same)",11
"basatu inywena mwije, come all three of you nsazi, e-, 11",1
"spec ies of edible tennite, the anthill in which they live",1
"to undo/reverse 10 put on a slope, lake oul of sighting",1
they ate the bread offered to the owner of the vineyard,3
The rain that burns the grass is the result of childbirth.,5
The cow that carries her chicks to the market is sick.,7
"to be be fond of (opposite sex), fall in love withed",1
"to undo/reverse be fond of (opposite sex), fall in love withing",1
I have sent you a machine to prepare for the fire,6
when he cried out in a loud voice on the night,5
you need a doctor's medicine to prepare you for mve clothes,7
(pl. your maternal of her millet crop are just beginning to,2
What is circumcised is that which is not based on Judaism.,6
"cross (see kambieri.) mambunviga, a-, n. cl. 6, (used in pl.)",8
he begged him to put his trust in him with fear,5
I have brought the doctor of the clinic together with me,6
the mother of the child drew it out of the womb,4
he begged him to let him go on doing so quickly,8
"to grow badly, be thin, be choked (as flowers by weeds)",1
title (empaako) given to the King of Bunyoro Kitara and Tooro,1
to cause to live one do the work all by himself,1
to live one do the work all by himself each other,1
[ERICULTURE] [GENERAL] A large bundle of flour is used for reading.,4
[GENICAL] It is a man's duty to sit in the kitchen.,5
[GENerAL] These are the things that have been done to follow.,4
"free the car, make it roll or drive in free hand.",17
"to be 10 put on a slope, lake oul of sighted",1
when a person is constipated he/she cannot go to the toilet.,6
"poor, needy person. mburabu gyo, o-, 11. cl. 14, (pl. nil)",4
I will look at you as if you were a thief,2
the head of the household went to work for a wage,3
We have to wait for him to come and encourage us.,4
to undo/reverse serve (used of femaje serva nts of king's household)ing,1
"to cause to plait, weave, twist, announce, give notice of, introduce",1
He uses money money to pay for what he has earned.,5
"to cause to sit and beg for food or drink, sponge",1
"to sit and beg for food or drink, sponge each other",1
"to cause to give to a beggar, slacken, loosen, unstring (bow)",1
"to give to a beggar, slacken, loosen, unstring (bow) each other",1
the ama/engo was worshiped by him and was surrounded by Bulimanva,4
"leaves of this tree have dropped. ragalikya, ku-, oku-.v.c., (pf -ragalikize)",5
"(of the King of Tooro and Bunyoro), to lie on bed",1
they have stolen the WOOd he cut for use as firewood,4
you are walking very fast where are you going? pa kupaku,15
"pound ( weight). raza, a-, n. cl. 6, (used in pl.)",3
"to inspect, go round the place to see what is there",1
he/she is a person who will not be stopped when fighting.,4
"to undo/reverse make campaign, go to war, go on a pilgrimageing",1
"to cause to pay homage to a superior, worship, prform, ramfr",1
"to pay homage to a superior, worship, prform, ramfr each other",1
[GENerAL] It is very painful to talk about things that happened.,3
[AGICAL] [GENERAL] A crop is used to kill maize in plants.,4
"bead (in hunting). mahuko, a-, n. cl. 6, (used in pl.)",9
the timber has cracked because of being left under the sun.,4
here is the money that has been paid by the bridegroom.,4
the people of the city did not weep for the light,4
"a flower-shaped of plantin. nkonwa, o-, n. cl. 11, (pl. nil)",6
the trees he/sh planted have started to bring forth ne leaves,2
"You must be perfect, you must be full of evil spirits.",6
The shrine is still talking to the dead in the graves.,5
"civet cat = bibujuguta, a-, n. cl. 6, (used in pl.)",4
"that is a great thief. rucwamba, o-, 11. cl. II,(pl. same)",3
title given to the creator and to the Kings of Bunyoro-K,1
he/she was given way by those who new his /her position.,4
"to undo/reverse pant, be out of breath, be parched with thirsting",1
"to cause to ake no notice of, appear not to hear",1
"to ake no notice of, appear not to hear each other",1
"[GENerAL] I have stopped laughing, we are happy to see you",4
[GENerAL] I have fixed up a new one in the kitchen.,4
"to be make campaign, go to war, go on a pilgrimageed",1
bath made in a ho le and heated with red-hot stones,1
"tooro inywella nimb aramukya, a-, n. cl. 6, (used in pl.)",6
"prognosis of the rectum. mooyogutalia, o-, 11. cl. 14, (pl. nil)",5
the director of the diocese invited the vicar to join him,5
"etc. for catching locusts or grasshoppers. chain, fetter. • · 1·",1
he/she has been made giddy by the heat of the sun,2
the story of the resurrection taught us to trust and obey,4
He ordered that the treatment be given to him at once.,5
[GENerAL] she loved a girl who looked beautiful like a husband,4
"to be pant, be out of breath, be parched with thirsted",1
the teacher narrated to us a story that was very scary,4
game played on wooden board with rows of hollows in it,1
"milk of second milking. suma, o-, 11. cl. 14, (pl. nil)",5
kind of arum lily with edible leaves and leaves (Colocia A111ugurum).,12
a tree from which walking-sticks and shafts of spear are made.,11
"boss of shield. muundw a, o-, n. cl. 11, (pl. nil)",5
"name given to athief. runkurato, o-, n. cl. 11, (pl. nil)",12
"be made to suffer, make the bed ready for oneto sleep.",34
"goat or dog. 347 rutambaisiga rutambai siga,o-,n. cl. II,(pl. -otambaisiga, e-)",2
"as though, intend, be about to, mean (probably a contraction ofsisana)",1
"242 mugini mugorogoro sharp, a-, n. cl. 6, (used in pl.)",4
"body of a King. muguuda, o-, n. cl. 11, (pl. nil)",5
lambling uldershmb with spikes of flowers beer some likeness to mpora.,11
"we are pleased with you, thank you for coming (welc ome).",4
"to drive right away, send into exile, 360 sendekereza senya banish",1
"to spring from, start from, be the chief point, work accordingly",1
the guest invited the guests to come and talk to them,10
outer cloth for women which is worn with a traditional wear,12
"branches of a tree. mataagi, o-, 11. cl. 14, (pl. nil)",5
"to cause to lo promise, covenant with (not necessarily mitu a",1
"to lo promise, covenant with (not necessarily mitu a each other",1
"to cause to fall one by one, drop about, be scattered",1
The beans are mixed with beans and then cooked with tea.,8
he/she got her picking some small sticks to use for cooking.,19
[GENerAL] The pulpit was similar to the one that was built.,3
[GENICAL] A small bundle of flour does not reach the market.,4
"a red cow. mambaara, a-, n. cl. 6, (used in pl.)",4
"populimi of the eye. mootato, o-, n. cl. 11, (pl. nil)",5
to make a sucking noise expressive of contemp t or abuse,1
poverty made him/her squat that he/she no longer gets any money,3
"to bring one by one, bring by handfuls, fetch, collect together",1
the colours of this mat are mixed 383 taba tabirana up.,4
"When he said this, he sent a messenger to the crowd.",4
"to cause to a/ikugwamu puku, he/ she will visit you unexpectedly",1
"to a/ikugwamu puku, he/ she will visit you unexpectedly each other",1
[GENRELIGIOUS] [pl. same] convince your child that the crown is there,6
"[GENerAL] the buhingo di buhingo, adv., ku-, oku-, v.i., (pf. -culeezi)",5
[GENerAL] Do you have any money to pay for the trip?,5
"it am. doze. maibaani, a-, n. cl. 6, (used in pl.)",4
"to tickle (e.g. throat). kiriiranda, o-, n. cl. 11, (pl. nil)",5
"company on the march. k.isindikwa, o-, 11. cl. 14, (pl. nil)",5
"be smothered in dirt. kioizira, o-, n. cl. 11, (pl. nil)",6
"to stumble, trip up, save oneself by running a few paces",1
boxers in the game of fighting are separated by a referee.,8
"stand a stride, sit with legs apart and at fuU length",1
piece of burnt ground where grass is beginning to grow again.,11
"offering to a duty. kihonole, o-, n. cl. 11, (pl. nil)",5
"captivity be. kyurujuut e, a-, n. cl. 6, (used in pl.)",4
when you were sick or suffering from a dreaded skin disease,9
they mocked her because of the way she bad dressed up,3
[GENerAL] He was admitted to the Council for a short time.,3
[GENerAL] He broke his leg and was put in a basket.,4
Jesus heard them and thought that they were giving him something.,4
"Blood, fire, and sulfur are the things that make them unclean.",4
[GENerAL] The vision of the watchman is guided by the watchman,4
[REDUCATION] [GENERAL] He attended the Sacred Tent when he was praying.,4
the news was told by those who listened to his/her talk.,6
it was lhe small hut that made him kneel before h,5
The songs of the guitar remind us of the old days,4
"cause to reject, refuse, refuse to pay, refuse to pay taxes",10
"cross-pole of roof. casomole, a-, n. cl. 6, (used in pl.)",4
"breast bone. (pl. katwetwe, a-, n. cl. 6, (used in pl.)",4
[GENRELIGIOUS] [MEDICAL] He is cutting off his head from the ground.,4
[GENerAL] The Abahwezi are the ones who live in Buyooro Kitara.,4
They gave him a piece of wood that was not ready.,4
"to cause to work for wages, or any valuable thing, toil",1
"to work for wages, or any valuable thing, toil each other",1
the director of the play was a lover and a liar,6
A plant that grows in the wild is eaten as food.,4
he/she refused to explain fully the cause of their estrangeme nt,8
"bamuboha bam111ulingika, he/she was fighting and consequentely they tied him/her firmly",2
they tied him/ her firmly with a rope made of sisal,4
"to swell into a lum p, grow into a mature person",1
I forgave him but he refused to do it to you,5
six excited of lifts and large animals in the cooking season.,11
I have given my goat as a sacrifice to the church.,6
A plant is planted in the same way that plants grow.,6
"to come, unstring or unthreaded, come off a rope or stick",1
to hav sexual intercourse (with a woman) foe the first time,1
"to 309 ogeza ohya cause to bathe, wash with each other",1
to be muli kyo habairemu k i? what was in it?ed,1
to undo/reverse muli kyo habairemu k i? what was in it?ing,1
to be spoil or eat crops of another by one's animalsed,1
to undo/reverse spoil or eat crops of another by one's animalsing,1
to undo/reverse drink much at one time (dirty or unpalatable liquid)ing,1
to cause to cause to be spoil t or eaten (e,1
She called her mother in a loud voice during the night.,5
The river is still talking to the dead in the tombs.,5
"“Don't do it,” they said. “Don't look at it,” they said.",3
"to stride along with springy step, walk with a spear, etc",1
He threw him out of the way and threw him down,4
his eyes of the dragon are not able to see him,8
the merciful one was drunk and was led into the pit,4
"amaino abaihuukibwe obukunt tigamm, a-, n. cl. 6, (used in pl.)",4
"pr. of c. for m, o-, n. cl. 11, (pl. nil)",5
"to cause to spring out, become thin and taller than others",1
"to spring out, become thin and taller than others each other",1
"to cause to 309 ogeza ohya cause to bathe, wash with",1
"[GENerAL] o'clock in the morning, wake up early in the afternoon",6
"abais be baka1111gweerra omllllhanda, a-, n. cl. 6, (used in pl.)",4
"use. with the suffix -mu, o-, 11. cl. 14, (pl. nil)",5
"use. with the suffix -ho, o-, 11. cl. 14, (pl. nil)",5
How long do you have to wait for him to come,8
He didn't finish the song because he failed to finish it.,4
"to be lo take an offered thing in the hand, accepted",1
"to undo/reverse lo take an offered thing in the hand, accepting",1
"to be make to cross, take across a swamp or rivered",1
"to undo/reverse make to cross, take across a swamp or rivering",1
He drew near to him and took away what he wanted,8
The skin of the snake is similar to that of lions,5
maize is juicy.-. wingana there it was not allowed at home,7
he promised on the road that he would be taken away,5
the hare opened the way for the loss of the bow,4
I have come to the house to give you a blessing.,4
The children played the instrument of the Europeans during the play.,6
"to cause to ndaagenda ny enkya, i shall go to- morrow",1
"to undo/reverse walk slowly and quietly, come out of hole, etcing",1
"That is why I beg you, then, to let him go.",3
"[GENerAL] become known to mekowa, adv., ku-, oku-, v.i., (pf. -kooto)",9
"[GENerAL] be named after, eterwa, o-, n. cl. 11, (pl. nil)",7
"[GENerAL] turn up n. at, adv., ku-, oku-, v.i., (pf. -kooto)",8
The master of the house forgave him and let him go.,7
Her brother came to her and helped her at the party.,5
"to be spread out oa the ground, put out to dryed",1
"to undo/reverse spread out oa the ground, put out to drying",1
"to undo/reverse ake out of the sun, take in from dryinging",1
"I beg you, we will arrest him in our banana plantation.",6
"they put them separate. bwoomeez, o-, 11. cl. 14, (pl. nil)",8
he was given a cow and the young cows ate it,8
Do not be fooled by the immoral ways of the people,8
[GENerAL] They dug a hole in the ground using a tractor.,4
[ERICULTURE] [GENERAL] He was written by a mental - health professional?,3
[GENerAL] You will need to be careful to catch the wind.,6
Happy is the one who does not keep watch over me.,5
The grace of the Lord has been poured out on me.,4
"eat rich food. ejaaiika, a-, n. cl. 6, (used in pl.)",4
"to undo/reverse force open an d tie (mouth of cow), passing",1
A sprayer is used to kill crops and to kill pests.,9
"secretion of the eyes. busulizi, o-, n. cl. 11, (pl. nil)",5
"she has ob. bw'amabega, a-, n. cl. 6, (used in pl.)",3
he got a tumor when he was laid on his hand,4
"hair peeled style. bigesero, a-, n. cl. 6, (used in pl.)",4
"hair in the amplifier. bintu, o-, 11. cl. 14, (pl. nil)",5
"When the sun was setting, it would not shine on him",3
he got up and started looking for a place to stay.,2
So he did not open his mouth for a little while.,3
[GENerAL] Have you ever eaten all the bread in the oven?,5
[GENerAL] Am I supposed to change my mind about the virus?,7
[MOVERNMENT] [GENERAL] You have been taken to the hospital for brain/sickness.,4
"to undo/reverse be durab le, last long, be strong and muscularing",1
"to cause to become bad, be ugly, deceptive (used in pres",1
"hasten the business of. anuukura, o-, n. cl. 11, (pl. nil)",5
"wild (many people). anzika, a-, n. cl. 6, (used in pl.)",4
"be possessed by a mucwezi, o-, n. cl. 11, (pl. nil)",6
"forward. s top. oku-, a-, n. cl. 6, (used in pl.)",4
title of great honor given to King or to Omucwezi wamara.,11
"to cause to have first menstruation after giving birth, look tidy",1
to cause to iny conical shells washed up by the waves,1
"to be wind round and round in a rough way, twineed",1
"to undo/reverse wind round and round in a rough way, twineing",1
"to undo/reverse reconclle, ppease with a gift to ix 'floii '""'ing",1
to iny conical shells washed up by the waves each other,1
"to be ente akagimuha bu/ta, he/she was given a cow freelyed",1
"to undo/reverse ente akagimuha bu/ta, he/she was given a cow freelying",1
"to cause to ake on one's lap for blessing (welcome, congratulate)",1
He reached out and took her by the hand and left.,3
For a man is not made new because of a man.,4
The copy of the book of the Law has come true.,3
"When the crowds heard it, they were amazed at his teaching.",4
"to ake on one's lap for blessing (welcome, congratulate) each other",1
to cause to go through a dark place or short-cuts unafrrud,1
to cause to play a game with string (ca t's cradle),1
to play a game with string (ca t's cradle) each other,1
"to cause to be lost to sight, disappear on the horizon",1
"to cause to attack, storm, raid, plunder, murder, take by surprise",1
"to cause to confuse, make it difficult for one to understand",1
"to cause to finish completely, decide, de termine, purpose, be sure",1
"to finish completely, decide, de termine, purpose, be sure each other",1
